cod;nm_categoria;de_categoria
M70;M70   Transt tec moles relac uso excess e pressao;Transtornos dos tecidos moles relacionados com o uso, uso excessivo e pressão
M71;M71   Outr bursopatias;Outras bursopatias
M72;M72   Transt fibroblasticos;Transtornos fibroblásticos
M73;M73   Transt dos tec moles em doenc COP;Transtornos dos tecidos moles em doenças classificadas em outra parte
M75;M75   Lesoes do ombro;Lesões do ombro
M76;M76   Entesopatias dos membros infer excl pe;Entesopatias dos membros inferiores, excluindo pé
M77;M77   Outr entesopatias;Outras entesopatias
M79;M79   Outr transt dos tec moles NCOP;Outros transtornos dos tecidos moles, não classificados em outra parte
M80;M80   Osteoporose c/frat patologica;Osteoporose com fratura patológica
M81;M81   Osteoporose s/frat patologica;Osteoporose sem fratura patológica
M82;M82   Osteoporose em doenc COP;Osteoporose em doenças classificadas em outra parte
M83;M83   Osteomalacia do adulto;Osteomalácia do adulto
M84;M84   Transt da continuidade do osso;Transtornos da continuidade do osso
M85;M85   Outr transt da densidade e estrutura osseas;Outros transtornos da densidade e da estrutura ósseas
M86;M86   Osteomielite;Osteomielite
M87;M87   Osteonecrose;Osteonecrose
M88;M88   Doenc de Paget do osso;Doença de Paget do osso (osteíte deformante)
M89;M89   Outr transt osseos;Outros transtornos ósseos
M90;M90   Osteopatias em doenc COP;Osteopatias em doenças classificadas em outra parte
M91;M91   Osteocondrose juvenil do quadril e da pelve;Osteocondrose juvenil do quadril e da pelve
M92;M92   Outr osteocondroses juvenis;Outras osteocondroses juvenis
M93;M93   Outr osteocondropatias;Outras osteocondropatias
M94;M94   Outr transt das cartilagens;Outros transtornos das cartilagens
M95;M95   Outr deform adquir sist osteomusc tec conj;Outras deformidades adquiridas do sistema osteomuscular e do tecido conjuntivo
M96;M96   Transt osteomusculares pos-proced NCOP;Transtornos osteomusculares pós-procedimentos não classificados em outra parte
M99;M99   Lesoes biomecanicas NCOP;Lesões biomecânicas não classificadas em outra parte
N00;N00   Sindr nefritica aguda;Síndrome nefrítica aguda
N01;N01   Sindr nefritica rapidamente progressiva;Síndrome nefrítica rapidamente progressiva
N02;N02   Hematuria recidivante e persistente;Hematúria recidivante e persistente
N03;N03   Sindr nefritica cronica;Síndrome nefrítica crônica
N04;N04   Sindr nefrotica;Síndrome nefrótica
N05;N05   Sindr nefritica NE;Síndrome nefrítica não especificada
N06;N06   Proteinuria isolada c/lesao morfolog espec;Proteinúria isolada com lesão morfológica especificada
N07;N07   Nefropatia hereditaria NCOP;Nefropatia hereditária não classificada em outra parte
N08;N08   Transt glomerulares em doenc COP;Transtornos glomerulares em doenças classificadas em outra parte
N10;N10   Nefrite tubulo-intersticial aguda;Nefrite túbulo-intersticial aguda
N11;N11   Nefrite tubulo-intersticial cronica;Nefrite túbulo-intersticial crônica
N12;N12   Nefrite tubulo-intersticial NE aguda cronica;Nefrite túbulo-intersticial não especificada se aguda ou crônica
N13;N13   Uropatia obstrutiva e p/refluxo;Uropatia obstrutiva e por refluxo
N14;N14   Afec tubul tubulo-interst ind drog met pesad;Afecções tubulares e túbulo-intersticiais induzidas por drogas ou metais pesados
N15;N15   Outr doenc renais tubulo-intersticiais;Outras doenças renais túbulo-intersticiais
N16;N16   Transt renais tubulo-intersticiais doenc COP;Transtornos renais túbulo-intersticiais em doenças classificadas em outra parte
N17;N17   Insuf renal aguda;Insuficiência renal aguda
N18;N18   Insuf renal cronica;Insuficiência renal crônica
N19;N19   Insuf renal NE;Insuficiência renal não especificada
N20;N20   Calculose do rim e do ureter;Calculose do rim e do ureter
N21;N21   Calculose do trato urinario infer;Calculose do trato urinário inferior
N22;N22   Calculose do trato urinario infer doenc COP;Calculose do trato urinário inferior em doenças classificadas em outra parte
N23;N23   Colica nefretica NE;Cólica nefrética não especificada
N25;N25   Transt result funcao renal tubular alterada;Transtornos resultantes de função renal tubular alterada
N26;N26   Rim contraido NE;Rim contraído, não especificado
N27;N27   Hipoplasia renal de causa desconhecida;Hipoplasia renal de causa desconhecida
N28;N28   Outr transt do rim e do ureter NCOP;Outros transtornos do rim e do ureter não classificado em outra parte
N29;N29   Outr transt do rim e do ureter em doenc COP;Outros transtornos do rim e do ureter em doenças classificadas em outra parte
N30;N30   Cistite;Cistite
N31;N31   Disfuncoes neuromusculares da bexiga NCOP;Disfunções neuromusculares da bexiga não classificados em outra parte
N32;N32   Outr transt da bexiga;Outros transtornos da bexiga
N33;N33   Transt da bexiga em doenc COP;Transtornos da bexiga em doenças classificadas em outra parte
N34;N34   Uretrite e sindr uretral;Uretrite e síndrome uretral
N35;N35   Estenose da uretra;Estenose da uretra
N36;N36   Outr transt da uretra;Outros transtornos da uretra
N37;N37   Transt da uretra em doenc COP;Transtornos da uretra em doenças classificadas em outra parte
N39;N39   Outr transt do trato urinario;Outros transtornos do trato urinário
N40;N40   Hiperplasia da prostata;Hiperplasia da próstata
N41;N41   Doenc inflam da prostata;Doenças inflamatórias da próstata
N42;N42   Outr afeccoes da prostata;Outras afecções da próstata
N43;N43   Hidrocele e espermatocele;Hidrocele e espermatocele
N44;N44   Torcao do testiculo;Torção do testículo
N45;N45   Orquite e epididimite;Orquite e epididimite
N46;N46   Infertilidade masc;Infertilidade masculina
N47;N47   Hipertrofia do prepucio fimose e parafimose;Hipertrofia do prepúcio, fimose e parafimose
N48;N48   Outr transt do penis;Outros transtornos do pênis
N49;N49   Transt inflam orgaos genitais masc NCOP;Transtornos inflamatórios de órgãos genitais masculinos, não classificados em outra parte
N50;N50   Outr transt dos orgaos genitais masc;Outros transtornos dos órgãos genitais masculinos
N51;N51   Transt orgaos genitais masc doenc COP;Transtornos dos órgãos genitais masculinos em doenças classificadas em outra parte
N60;N60   Displasias mamarias benignas;Displasias mamárias benignas
N61;N61   Transt inflam da mama;Transtornos inflamatórios da mama
N62;N62   Hipertrofia da mama;Hipertrofia da mama
N63;N63   Nodulo mamario NE;Nódulo mamário não especificado
N64;N64   Outr doenc da mama;Outras doenças da mama
N70;N70   Salpingite e ooforite;Salpingite e ooforite
N71;N71   Doenc inflam do utero exceto o colo;Doença inflamatória do útero, exceto o colo
N72;N72   Doenc inflam do colo do utero;Doença inflamatória do colo do útero
N73;N73   Outr doenc inflam pelvicas femin;Outras doenças inflamatórias pélvicas femininas
N74;N74   Transt inflam da pelve femin em doenc COP;Transtornos inflamatórios da pelve feminina em doenças classificadas em outra parte
N75;N75   Doenc da gland de Bartholin;Doenças da glândula de Bartholin
N76;N76   Outr afeccoes inflam da vagina e da vulva;Outras afecções inflamatórias da vagina e da vulva
N77;N77   Ulceracao e inflam vulvovaginais doenc COP;Ulceração e inflamação vulvovaginais em doenças classificadas em outra parte
N80;N80   Endometriose;Endometriose
N81;N81   Prolapso genital femin;Prolapso genital feminino
N82;N82   Fistulas do trato genital femin;Fístulas do trato genital feminino
N83;N83   Transt nao-infl ovario tromp Falop lig largo;Transtornos não-inflamatórios do ovário, da trompa de Falópio e do ligamento largo
N84;N84   Polipo do trato genital femin;Pólipo do trato genital feminino
N85;N85   Outr transt nao-inflam utero exc colo utero;Outros transtornos não-inflamatórios do útero, exceto do colo do útero
N86;N86   Erosao e ectropio do colo do utero;Erosão e ectrópio do colo do útero
N87;N87   Displasia do colo do utero;Displasia do colo do útero
N88;N88   Outr transt nao-inflam do colo do utero;Outros transtornos não-inflamatórios do colo do útero
N89;N89   Outr transt nao-inflam da vagina;Outros transtornos não-inflamatórios da vagina
N90;N90   Outr transt nao-inflam da vulva e do perineo;Outros transtornos não-inflamatórios da vulva e do períneo
N91;N91   Menstruacao ausente escassa e pouco freq;Menstruação ausente, escassa e pouco freqüente
N92;N92   Menstruacao excessiva frequente e irregular;Menstruação excessiva, freqüente e irregular
N93;N93   Outr sangramentos anormais utero e vagina;Outros sangramentos anormais do útero e da vagina
N94;N94   Dor outr afecc ass org genit fem cicl menstr;Dor e outras afecções associadas com os órgãos genitais femininos e com o ciclo menstrual
N95;N95   Transt da menopausa e da perimenopausa;Transtornos da menopausa e da perimenopausa
N96;N96   Abortamento habitual;Abortamento habitual
N97;N97   Infertilidade femin;Infertilidade feminina
N98;N98   Complic assoc a fecundacao artificial;Complicações associadas à fecundação artificial
N99;N99   Transt trato geniturinario pos-proced NCOP;Transtornos do trato geniturinário pós-procedimentos não classificados em outra parte
O00;O00   Gravidez ectopica;Gravidez ectópica
O01;O01   Mola hidatiforme;Mola hidatiforme
O02;O02   Outr produtos anormais da concepcao;Outros produtos anormais da concepção
O03;O03   Aborto espontaneo;Aborto espontâneo
O04;O04   Aborto p/razoes medicas e legais;Aborto por razões médicas e legais
O05;O05   Outr tipos de aborto;Outros tipos de aborto
O06;O06   Aborto NE;Aborto não especificado
O07;O07   Falha de tentativa de aborto;Falha de tentativa de aborto
O08;O08   Complic conseq aborto gravidez ectop molar;Complicações conseqüentes a aborto e gravidez ectópica ou molar
O10;O10   Hipertens pre-exist complic grav parto puerp;Hipertensão pré-existente complicando a gravidez, o parto e o puerpério
O11;O11   Dist hipertens pre-exist proteinuria superp;Distúrbio hipertensivo pré-existente com proteinúria superposta
O12;O12   Edema e proteinuria gestac s/hipertensao;Edema e proteinúria gestacionais [induzidos pela gravidez], sem hipertensão
O13;O13   Hipertensao gestacional s/proteinuria signif;Hipertensão gestacional [induzida pela gravidez] sem proteinúria significativa
O14;O14   Hipertensao gestacional c/proteinuria signif;Hipertensão gestacional [induzida pela gravidez] com proteinúria significativa
O15;O15   Eclampsia;Eclâmpsia
O16;O16   Hipertensao materna NE;Hipertensão materna não especificada
O20;O20   Hemorragia do inicio da gravidez;Hemorragia do início da gravidez
O21;O21   Vomitos excessivos na gravidez;Vômitos excessivos na gravidez
O22;O22   Complic venosas na gravidez;Complicações venosas na gravidez
O23;O23   Infecc do trato geniturinario na gravidez;Infecções do trato geniturinário na gravidez
O24;O24   Diabetes mellitus na gravidez;Diabetes mellitus na gravidez
O25;O25   Desnutric na gravidez;Desnutrição na gravidez
O26;O26   Assist materna outr complic lig predom grav;Assistência materna por outras complicações ligadas predominantemente à gravidez
O28;O28   Achados anorm rastr antenatal mae;"Achados anormais do rastreamento [""screening""] antenatal da mãe"
O29;O29   Complic anestesia admin durante gravidez;Complicações de anestesia administrada durante a gravidez
O30;O30   Gestacao mult;Gestação múltipla
O31;O31   Complic especificas de gestacao mult;Complicações específicas de gestação múltipla
O32;O32   Assist prest mae apres anorm conh susp feto;Assistência prestada à mãe por motivo de apresentação anormal, conhecida ou suspeitada, do feto
O33;O33   Assist prest mae desprop conhecida suspeita;Assistência prestada à mãe por uma desproporção conhecida ou suspeita
O34;O34   Assist prest mae anor conh susp org pelv mat;Assistência prestada à mãe por anormalidade, conhecida ou suspeita, dos órgãos pélvicos maternos
O35;O35   Assist prest mae anorm lesao fet conhec susp;Assistência prestada à mãe por anormalidade e lesão fetais, conhecidas ou suspeitadas
O36;O36   Assist prest mae outr probl fet conhec susp;Assistência prestada à mãe por outros problemas fetais conhecidos ou suspeitados
O40;O40   Polihidramnio;Polihidrâmnio
O41;O41   Outr transt membranas e liquido amniotico;Outros transtornos das membranas e do líquido amniótico
O42;O42   Ruptura prematura de membranas;Ruptura prematura de membranas
O43;O43   Transt da placenta;Transtornos da placenta
O44;O44   Placenta previa;Placenta prévia
O45;O45   Descolamento prematuro da placenta;Descolamento prematuro da placenta [abruptio placentae]
O46;O46   Hemorragia anteparto NCOP;Hemorragia anteparto não classificada em outra parte
O47;O47   Falso trabalho de parto;Falso trabalho de parto
O48;O48   Gravidez prolongada;Gravidez prolongada
O60;O60   Trabalho de parto pre-termo;Trabalho de parto pré-termo
O61;O61   Falha na inducao do trabalho de parto;Falha na indução do trabalho de parto
O62;O62   Anormalidades da contracao uterina;Anormalidades da contração uterina
O63;O63   Trabalho de parto prolongado;Trabalho de parto prolongado
O64;O64   Obstr trab parto dev ma-posic ma-apres feto;Obstrução do trabalho de parto devida à má-posição ou má-apresentação do feto
O65;O65   Obstr trab parto dev anorm pelvica da mae;Obstrução do trabalho de parto devida a anormalidade pélvica da mãe
O66;O66   Outr form de obstrucao do trabalho de parto;Outras formas de obstrução do trabalho de parto
O67;O67   Trab parto parto compl hemorr intrapart NCOP;Trabalho de parto e parto complicados por hemorragia intraparto não classificados em outra parte
O68;O68   Trab parto e parto complic sofrimento fetal;Trabalho de parto e parto complicados por sofrimento fetal
O69;O69   Trab parto parto compl anorm cordao umbilic;Trabalho de parto e parto complicados por anormalidade do cordão umbilical
O70;O70   Laceracao do perineo durante o parto;Laceração do períneo durante o parto
O71;O71   Outr traum obstetricos;Outros traumatismos obstétricos
O72;O72   Hemorragia pos-parto;Hemorragia pós-parto
O73;O73   Retencao placenta e membranas s/hemorragias;Retenção da placenta e das membranas, sem hemorragias
O74;O74   Complic anestesia durante trab parto e parto;Complicações de anestesia durante o trabalho de parto e o parto
O75;O75   Outr complic do trab parto e do parto NCOP;Outras complicações do trabalho de parto e do parto não classificadas em outra parte
O80;O80   Parto unico espontaneo;Parto único espontâneo
O81;O81   Parto unico p/forceps ou vacuo-extrator;Parto único por fórceps ou vácuo-extrator
O82;O82   Parto unico p/cesariana;Parto único por cesariana
O83;O83   Outr tipos de parto unico assistido;Outros tipos de parto único assistido
O84;O84   Parto mult;Parto múltiplo
O85;O85   Infecc puerperal;Infecção puerperal
O86;O86   Outr infecc puerperais;Outras infecções puerperais
O87;O87   Complic venosas no puerperio;Complicações venosas no puerpério
O88;O88   Embolia orig obstetrica;Embolia de origem obstétrica
O89;O89   Complic da anestesia admin durante puerperio;Complicações da anestesia administrada durante o puerpério
